episode,junction,action,greedy_count,random_count
42,JN_north,1,36,34
42,JN_north,2,147,40
42,JS_south,0,113,39
42,JS_south,1,118,30
42,JS_south,2,70,30
42,JW_west,0,126,36
42,JW_west,1,102,41
42,JW_west,2,49,46
42,JE_east,0,125,38
42,JE_east,1,95,35
42,JE_east,2,60,47
43,J0_central,0,94,38
43,J0_central,1,126,24
43,J0_central,2,81,37
43,JN_north,0,120,42
43,JN_north,1,65,41
43,JN_north,2,91,41
43,JS_south,0,111,40
43,JS_south,1,129,40
43,JS_south,2,42,38
43,JW_west,0,105,35
43,JW_west,1,128,33
43,JW_west,2,61,38
43,JE_east,0,130,35
43,JE_east,1,98,37
43,JE_east,2,69,31
44,J0_central,0,120,32
44,J0_central,1,84,33
44,J0_central,2,101,30
44,JN_north,0,185,34
44,JN_north,1,14,28
44,JN_north,2,100,39
44,JS_south,0,84,25
44,JS_south,1,170,33
44,JS_south,2,49,39
44,JW_west,0,107,35
44,JW_west,1,127,37
44,JW_west,2,57,37
44,JE_east,0,145,35
44,JE_east,1,67,32
44,JE_east,2,88,33
45,J0_central,0,157,37
45,J0_central,1,36,34
45,J0_central,2,101,35
45,JN_north,0,66,38
45,JN_north,1,140,35
45,JN_north,2,84,37
45,JS_south,0,93,38
45,JS_south,1,188,32
45,JS_south,2,17,32
45,JW_west,0,125,32
45,JW_west,1,110,38
45,JW_west,2,61,34
45,JE_east,0,114,27
45,JE_east,1,121,36
45,JE_east,2,64,38
46,J0_central,0,113,26
46,J0_central,1,95,29
46,J0_central,2,96,41
46,JN_north,0,159,23
46,JN_north,1,65,31
46,JN_north,2,83,39
46,JS_south,0,66,25
46,JS_south,1,177,33
46,JS_south,2,73,26
46,JW_west,0,152,27
46,JW_west,1,115,30
46,JW_west,2,40,36
46,JE_east,0,174,39
46,JE_east,1,84,25
46,JE_east,2,45,33
47,J0_central,0,100,29
47,J0_central,1,99,38
47,J0_central,2,96,38
47,JN_north,0,135,26
47,JN_north,1,79,31
47,JN_north,2,94,35
47,JS_south,0,107,31
47,JS_south,1,135,37
47,JS_south,2,62,28
47,JW_west,0,158,31
47,JW_west,1,87,32
47,JW_west,2,51,41
47,JE_east,0,163,27
47,JE_east,1,110,37
47,JE_east,2,34,29
48,J0_central,0,119,33
48,J0_central,1,122,34
48,J0_central,2,70,22
48,JN_north,0,91,37
48,JN_north,1,46,26
48,JN_north,2,178,22
48,JS_south,0,61,29
48,JS_south,1,169,25
48,JS_south,2,88,28
48,JW_west,0,81,31
48,JW_west,1,160,29
48,JW_west,2,75,24
48,JE_east,0,129,33
48,JE_east,1,101,29
48,JE_east,2,70,38
49,J0_central,0,152,25
49,J0_central,1,68,35
49,J0_central,2,96,24
49,JN_north,0,153,28
49,JN_north,1,34,28
49,JN_north,2,125,32
49,JS_south,0,130,28
49,JS_south,1,109,28
49,JS_south,2,72,33
49,JW_west,0,159,19
49,JW_west,1,116,31
49,JW_west,2,43,32
49,JE_east,0,117,30
49,JE_east,1,118,25
49,JE_east,2,76,34
50,J0_central,0,105,32
50,J0_central,1,123,30
50,J0_central,2,74,36
50,JN_north,0,110,27
50,JN_north,1,65,32
50,JN_north,2,126,40
50,JS_south,0,87,28
50,JS_south,1,139,21
50,JS_south,2,100,25
50,JW_west,0,88,24
50,JW_west,1,145,36
50,JW_west,2,81,26
50,JE_east,0,133,24
50,JE_east,1,151,27
50,JE_east,2,43,22
51,J0_central,0,130,23
51,J0_central,1,74,35
51,J0_central,2,102,36
51,JN_north,0,117,25
51,JN_north,1,30,34
51,JN_north,2,168,26
51,JS_south,0,90,25
51,JS_south,1,166,26
51,JS_south,2,58,35
51,JW_west,0,142,25
51,JW_west,1,105,30
51,JW_west,2,76,22
51,JE_east,0,86,25
51,JE_east,1,210,30
51,JE_east,2,24,25
52,J0_central,0,93,19
52,J0_central,1,134,28
52,J0_central,2,100,26
52,JN_north,0,163,34
52,JN_north,1,57,28
52,JN_north,2,91,27
52,JS_south,0,128,24
52,JS_south,1,134,26
52,JS_south,2,70,18
52,JW_west,0,57,32
52,JW_west,1,158,24
52,JW_west,2,99,30
52,JE_east,0,177,24
52,JE_east,1,109,27
52,JE_east,2,32,31
53,J0_central,0,161,30
53,J0_central,1,107,21
53,J0_central,2,57,24
53,JN_north,0,112,29
53,JN_north,1,5,22
53,JN_north,2,198,34
53,JS_south,0,54,27
53,JS_south,1,177,26
53,JS_south,2,88,28
53,JW_west,0,112,19
53,JW_west,1,175,23
53,JW_west,2,48,23
53,JE_east,0,109,27
53,JE_east,1,155,22
53,JE_east,2,56,31
54,J0_central,0,140,24
54,J0_central,1,94,21
54,J0_central,2,96,25
54,JN_north,0,53,23
54,JN_north,1,44,25
54,JN_north,2,231,24
54,JS_south,0,41,22
54,JS_south,1,210,15
54,JS_south,2,84,28
54,JW_west,0,138,25
54,JW_west,1,100,39
54,JW_west,2,79,19
54,JE_east,0,124,26
54,JE_east,1,138,36
54,JE_east,2,50,26
55,J0_central,0,120,23
55,J0_central,1,122,20
55,J0_central,2,93,22
55,JN_north,0,148,26
55,JN_north,1,45,29
55,JN_north,2,131,21
55,JS_south,0,61,30
55,JS_south,1,186,33
55,JS_south,2,64,26
55,JW_west,0,57,26
55,JW_west,1,153,34
55,JW_west,2,101,29
55,JE_east,0,166,30
55,JE_east,1,102,31
55,JE_east,2,40,31
56,J0_central,0,84,23
56,J0_central,1,86,22
56,J0_central,2,158,27
56,JN_north,0,121,29
56,JN_north,1,55,24
56,JN_north,2,148,23
56,JS_south,0,107,16
56,JS_south,1,179,29
56,JS_south,2,42,27
56,JW_west,0,136,31
56,JW_west,1,90,20
56,JW_west,2,107,16
56,JE_east,0,147,23
56,JE_east,1,138,31
56,JE_east,2,36,25
57,J0_central,0,151,16
57,J0_central,1,135,19
57,J0_central,2,52,27
57,JN_north,0,122,21
57,JN_north,1,131,17
57,JN_north,2,88,21
57,JS_south,0,86,24
57,JS_south,1,235,24
57,JS_south,2,8,23
57,JW_west,0,98,24
57,JW_west,1,126,21
57,JW_west,2,106,25
57,JE_east,0,182,18
57,JE_east,1,93,27
57,JE_east,2,56,24
58,J0_central,0,162,30
58,J0_central,1,113,23
58,J0_central,2,48,24
58,JN_north,0,58,20
58,JN_north,1,52,25
58,JN_north,2,223,22
58,JS_south,0,145,19
58,JS_south,1,150,16
58,JS_south,2,48,22
58,JW_west,0,120,18
58,JW_west,1,129,21
58,JW_west,2,88,24
58,JE_east,0,144,21
58,JE_east,1,134,18
58,JE_east,2,56,27
59,J0_central,0,115,18
59,J0_central,1,149,26
59,J0_central,2,67,25
59,JN_north,0,183,24
59,JN_north,1,23,17
59,JN_north,2,135,18
59,JS_south,0,81,22
59,JS_south,1,159,22
59,JS_south,2,83,33
59,JW_west,0,96,27
59,JW_west,1,145,20
59,JW_west,2,88,24
59,JE_east,0,115,25
59,JE_east,1,131,20
59,JE_east,2,90,19
60,J0_central,0,201,21
60,J0_central,1,73,20
60,J0_central,2,62,23
60,JN_north,0,104,18
60,JN_north,1,63,29
60,JN_north,2,172,14
60,JS_south,0,121,15
60,JS_south,1,149,22
60,JS_south,2,69,24
60,JW_west,0,129,20
60,JW_west,1,126,19
60,JW_west,2,84,22
60,JE_east,0,102,19
60,JE_east,1,160,22
60,JE_east,2,73,24
61,J0_central,0,87,23
61,J0_central,1,139,20
61,J0_central,2,105,26
61,JN_north,0,87,21
61,JN_north,1,113,28
61,JN_north,2,133,18
61,JS_south,0,70,26
61,JS_south,1,176,29
61,JS_south,2,80,19
61,JW_west,0,185,16
61,JW_west,1,69,28
61,JW_west,2,83,19
61,JE_east,0,130,10
61,JE_east,1,176,24
61,JE_east,2,35,25
62,J0_central,0,102,19
62,J0_central,1,116,21
62,J0_central,2,124,18
62,JN_north,0,144,24
62,JN_north,1,95,22
62,JN_north,2,100,15
62,JS_south,0,110,13
62,JS_south,1,173,22
62,JS_south,2,70,12
62,JW_west,0,83,14
62,JW_west,1,184,22
62,JW_west,2,65,32
62,JE_east,0,118,20
62,JE_east,1,179,22
62,JE_east,2,39,22
63,J0_central,0,92,18
63,J0_central,1,194,21
63,J0_central,2,54,21
63,JN_north,0,219,16
63,JN_north,1,23,17
63,JN_north,2,111,14
63,JS_south,0,151,19
63,JS_south,1,115,22
63,JS_south,2,76,17
63,JW_west,0,175,18
63,JW_west,1,65,19
63,JW_west,2,108,15
63,JE_east,0,187,16
63,JE_east,1,122,16
63,JE_east,2,37,22
64,J0_central,0,66,23
64,J0_central,1,112,23
64,J0_central,2,159,17
64,JN_north,0,136,18
64,JN_north,1,166,18
64,JN_north,2,45,17
64,JS_south,0,104,12
64,JS_south,1,161,16
64,JS_south,2,88,19
64,JW_west,0,114,23
64,JW_west,1,154,28
64,JW_west,2,72,9
64,JE_east,0,90,25
64,JE_east,1,184,16
64,JE_east,2,67,18
65,J0_central,0,141,29
65,J0_central,1,144,18
65,J0_central,2,46,22
65,JN_north,0,58,20
65,JN_north,1,183,25
65,JN_north,2,93,21
65,JS_south,0,86,18
65,JS_south,1,162,14
65,JS_south,2,92,28
65,JW_west,0,149,23
65,JW_west,1,97,19
65,JW_west,2,92,20
65,JE_east,0,131,21
65,JE_east,1,110,17
65,JE_east,2,101,20
66,J0_central,0,64,26
66,J0_central,1,161,13
66,J0_central,2,117,19
66,JN_north,0,156,24
66,JN_north,1,71,19
66,JN_north,2,109,21
66,JS_south,0,125,21
66,JS_south,1,146,20
66,JS_south,2,68,20
66,JW_west,0,119,20
66,JW_west,1,133,28
66,JW_west,2,80,20
66,JE_east,0,180,18
66,JE_east,1,78,24
66,JE_east,2,82,18
67,J0_central,0,107,18
67,J0_central,1,165,16
67,J0_central,2,67,27
67,JN_north,0,95,21
67,JN_north,1,50,17
67,JN_north,2,199,18
67,JS_south,0,126,21
67,JS_south,1,125,22
67,JS_south,2,89,17
